"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"DI","29339_29424","29339_29426","29668_29759","29221_29322","29323_29426","29339_29442","29323_29433","29323_29442","29443_29594","29520_29594","29668_29747","29672_29763","29339_29433","29694_29759","29648_29759","29339_29467","18552_18578","29648_29747","70_28285"
"normalized_reads_1"," 24.60957"," 36.31662","415.57201"," 21.50358"," 31.06043"," 64.26906"," 15.29153"," 39.90035"," 11.70762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2","68.90354","50.13926","70.95584",NA,NA,"58.34872",NA,"60.84085",NA,"11.28910","21.11188","25.07026","10.84927",NA,NA,NA,NA,NA,NA
"normalized_reads_3"," 65.40623"," 66.15282","122.59233",NA," 12.69366"," 73.61873"," 10.45362"," 53.90849",NA," 10.45362"," 17.47236",NA," 22.69902",NA,NA,NA,NA,NA,NA
"normalized_reads_4","17.53627","48.71034","48.90518",NA,NA,"36.63062",NA,"43.44986",NA,NA,"43.25502",NA,"17.53627","37.02029","13.05484","15.19814",NA,NA,NA
"normalized_reads_5",NA,NA,"31.49107",NA,NA,"31.01153",NA,"38.36450",NA,NA,NA,NA,NA,NA,"10.55053",NA,NA,NA,NA
"normalized_reads_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"796.8127",NA,NA
"normalized_reads_8",NA,NA,"19.68899",NA,NA,NA,NA,"15.01292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_9",NA,NA,NA,NA,NA,"46.50438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.97511","19.80795"
