"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"DI","29339_29442","29323_29442","29339_29426","29668_29759","29339_29424","29339_29433","29323_29426","29642_29759","22131_22159","25293_25587","75_27047","27399_27900","28691_28774","29597_29761","28301_29124"
"normalized_reads_1","10.29348","11.52622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2","28.65995","29.60735","11.76420","20.92271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3","28.55893","35.23246","19.48037","23.44850","14.42998","10.34153",NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4","28.92655","31.24311","21.03766","14.40087","17.59406","10.39372","11.95902",NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_5","20.06298","24.02469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_6","12.64151","17.29117",NA,"11.62439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_7","21.50116","26.56817",NA,"23.41841",NA,NA,NA,"20.54253",NA,NA,NA,NA,NA,NA,NA
"normalized_reads_8",NA,NA,NA,NA,NA,NA,NA,NA," 38.91732"," 38.91732","136.19737",NA,NA,NA,NA
"normalized_reads_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.26443",NA,NA,NA
"normalized_reads_10","23.04103","45.12103","16.32084",NA,NA,NA,NA,"12.48069",NA,NA,NA,NA,"22.08101","19.20093","11.52065"
