"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"DI","29339_29426","29668_29759","29339_29424","29339_29442","29683_29790","29323_29442","29339_29433","29323_29433","29482_29566","17409_17498","29323_29426","29022_29049","29648_29759"
"normalized_reads_1","30.28465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2",NA,"14.13429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3","15.38270","27.75363","10.74352","12.20853","11.06908","17.01047",NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4",NA,NA,"19.11605","14.97046",NA,"22.45552","14.04922","18.42512",NA,NA,NA,NA,NA
"normalized_reads_5",NA,NA,"16.33511",NA,NA,"17.54510","10.58763",NA,"13.61263","14.11679","10.99097",NA,NA
"normalized_reads_6",NA,NA,NA,NA,NA,"31.61729",NA,NA,NA,NA,NA,"10.75010",NA
"normalized_reads_7","10.07819",NA,NA,"10.07819",NA,NA,"11.96783",NA,NA,NA,NA,NA,"17.63670"
"normalized_reads_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
