"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"DI","29668_29759","29323_29442","70_28285","29323_29417","29339_29442","29323_29433","28838_28949","29694_29759","29668_29747","29668_29766","29703_29759","29698_29770","8478_29473","76_26480","29443_29594","29597_29761","29228_29442"
"normalized_reads_1","36.00209","12.75104","22.50161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2","83.26366","34.69488","17.34774","13.87824","10.40872","10.40872","10.40872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3","108.75596"," 22.73625",NA,NA," 13.21173",NA,NA," 33.79676"," 16.28418"," 18.74212",NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4","67.14039","12.17154",NA,NA,"10.03151",NA,NA,"13.77655","10.83402",NA,"15.91657","21.93530",NA,NA,NA,NA,NA
"normalized_reads_5","23.72155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_6","48.32750","11.94502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_7",NA,NA,"21.57136",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.15134","12.68915",NA,NA,NA
"normalized_reads_8","234.24414"," 40.90768",NA,NA," 60.74050",NA,NA,NA,NA,NA,NA,NA,NA,NA," 50.20441"," 19.83444"," 11.77680"
"normalized_reads_9","69.37734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.95224",NA,NA,NA
"normalized_reads_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
