"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"DI","29323_29442","26778_26831","19793_20053","29339_29442","29069_29094","26783_26821","13127_13352","18605_18844","28750_29081","28308_29122","12047_13331","27658_29505","76_26480","734_29070"
"normalized_reads_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2","12.15098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3","13.20968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4",NA,"10.38522","13.84692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_5","25.32307",NA,NA,"18.90155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_6","15.69911",NA,NA,"10.79977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_8","77.49104",NA,NA,"28.50385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_9",NA,NA,NA,NA,"40.04445","12.51423","10.01141","17.51984","45.04978","12.51423","10.01141","37.54177","17.51984","15.01704"
