"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"DI","29362_29442","29339_29424","29339_29426","29668_29759","29339_29433","29339_29442","29323_29442","29668_29747","29668_29751","29494_29581","29668_29766","29597_29761","29694_29759","28904_29009","29349_29424","29323_29426","28683_28939","28540_28806","75_27047","26153_26313","12051_12309","73_4585","18859_24817","76_26480","9099_9230","17439_17489","10548_10654","18238_18352","17375_17493","21717_22032","17424_17487","23568_23666","24052_26261","75_12971","17380_17638","13150_19274","8226_18770"
"normalized_reads_1","16.13267","16.57465","21.21546","90.60139","11.04983","33.14875","30.49693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2",NA,NA," 20.64183","156.42211",NA," 54.97057"," 35.63378"," 16.51353"," 16.73081"," 18.25177"," 17.59993"," 11.29879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3",NA,NA," 18.17319","172.23790",NA," 25.68168"," 27.64040"," 18.06437",NA,NA," 16.10562",NA," 47.11835"," 23.28768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4",NA,NA,NA,NA," 26.35786"," 61.88147","113.44351",NA,NA,NA,NA,NA,NA,NA," 38.96330"," 14.89809"," 11.46011"," 20.62801"," 10.31411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.69526","12.56540","22.61750","12.56540","10.05235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.10063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 11.31846"," 15.09122","138.63347"," 27.35250"," 12.26165",NA,NA,NA,NA,NA,NA,NA
"normalized_reads_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 16.51828","173.41470"," 16.51828"," 66.06984",NA,NA,NA
"normalized_reads_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.02844",NA,NA,NA,NA,"18.38060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.70453","14.70453","11.02844"
