"","V1","V2","V3","V4","V5","V6","V7","V8"
"DI","29339_29442","29323_29442","29670_29770","17380_17714","27922_27949","12068_12320","29347_29621","16911_17210"
"normalized_reads_1","13.74190","19.89112",NA,NA,NA,NA,NA,NA
"normalized_reads_2",NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3",NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4",NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_5","12.70892",NA,"36.63072","16.44678",NA,NA,NA,NA
"normalized_reads_6",NA,NA,NA,NA,"102.3018","204.5827",NA,NA
"normalized_reads_7",NA,NA,NA,NA,NA,NA,"10.88968",NA
"normalized_reads_8",NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_9",NA,NA,NA,NA,NA,NA,NA,"30.14465"
