"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"DI","29668_29759","28433_28471","29339_29424","29069_29094","4531_4558","3322_9557","6482_6506","11134_18713","29339_29442","29445_29819","28355_28978"
"normalized_reads_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_3","19.24002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_4",NA,"12.57347","12.57347",NA,NA,NA,NA,NA,NA,NA,NA
"normalized_reads_5",NA,NA,NA,"125.97632"," 83.98774"," 41.99563",NA,NA,NA,NA,NA
"normalized_reads_6",NA,NA,NA,NA,NA,NA,"263.2272","526.3158",NA,NA,NA
"normalized_reads_7",NA,NA,NA,NA,NA,NA,NA,NA,"12.92015",NA,NA
"normalized_reads_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.63858",NA
"normalized_reads_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.66805"
